NumAxe Jour Diam     X1       Y1       Z1      X2       Y2       Z2
    4    29    0.39 -177.05 -114.38   44.46 -181.84 -115.81   44.59
    4    30    0.39 -181.84 -115.81   44.59 -186.60 -117.16   45.29
    4    30    0.39 -186.60 -117.16   45.29 -191.17 -118.90   46.34
    4    30    0.39 -191.17 -118.90   46.34 -195.78 -120.75   46.93
    5    14    0.42  -14.37    4.83   66.02  -11.53    6.31   69.86
    5    14    0.42  -11.53    6.31   69.86   -8.47    7.34   73.68
    5    15    0.42   -8.47    7.34   73.68   -5.04    8.68   77.06
    5    15    0.42   -5.04    8.68   77.06   -1.83   10.44   80.46
    5    16    0.42   -1.83   10.44   80.46    0.95   12.30   84.18
    5    16    0.42    0.95   12.30   84.18    3.57   14.12   88.03
    5    16    0.42    3.57   14.12   88.03    6.19   15.32   92.12
    5    17    0.42    6.19   15.32   92.12    8.38   16.11   96.55
    5    17    0.42    8.38   16.11   96.55   11.03   16.61  100.76
    5    18    0.42   11.03   16.61  100.76   13.34   16.89  105.18
    5    18    0.42   13.34   16.89  105.18   15.16   16.86  109.84
    5    18    0.42   15.16   16.86  109.84   17.50   16.95  114.26
    5    19    0.42   17.50   16.95  114.26   20.09   16.79  118.53
    5    19    0.42   20.09   16.79  118.53   23.07   16.90  122.54
    5    20    0.42   23.07   16.90  122.54   26.25   16.33  126.36
    5    20    0.42   26.25   16.33  126.36   29.23   15.86  130.34
    5    20    0.36   29.23   15.86  130.34   32.28   15.64  134.30
    5    21    0.36   32.28   15.64  134.30   35.66   15.01  137.94
    5    21    0.36   35.66   15.01  137.94   38.53   13.94  141.89
    5    22    0.36   38.53   13.94  141.89   41.90   12.73  145.37
    5    22    0.36   41.90   12.73  145.37   45.48   11.48  148.64
    5    22    0.36   45.48   11.48  148.64   48.99    9.77  151.76
    5    23    0.36   48.99    9.77  151.76   52.94    8.11  154.33
    5    23    0.36   52.94    8.11  154.33   56.79    6.61  157.15
    5    24    0.36   56.79    6.61  157.15   60.18    5.22  160.55
    5    24    0.36   60.18    5.22  160.55   63.11    4.14  164.46
    5    24    0.36   63.11    4.14  164.46   66.58    3.14  167.92
    5    25    0.36   66.58    3.14  167.92   70.19    2.64  171.34
    5    25    0.36   70.19    2.64  171.34   74.18    2.42  174.34
    5    26    0.36   74.18    2.42  174.34   77.82    1.66  177.68
    5    26    0.36   77.82    1.66  177.68   81.31    1.41  181.26
    5    26    0.36   81.31    1.41  181.26   84.73    1.44  184.90
    5    27    0.36   84.73    1.44  184.90   88.51    1.76  188.16
    5    27    0.36   88.51    1.76  188.16   92.18    2.53  191.47
    5    28    0.36   92.18    2.53  191.47   95.39    3.21  195.25
    5    28    0.36   95.39    3.21  195.25   99.05    3.47  198.64
    5    28    0.36   99.05    3.47  198.64  102.28    4.20  202.38
    5    29    0.36  102.28    4.20  202.38  105.57    5.46  205.94
    5    29    0.36  105.57    5.46  205.94  108.65    7.19  209.47
    5    30    0.36  108.65    7.19  209.47  111.34    9.21  213.17
    5    30    0.36  111.34    9.21  213.17  114.18   10.74  216.98
    5    30    0.36  114.18   10.74  216.98  117.41   12.38  220.43
    6    15    0.32  -18.65    5.74   71.61  -16.02    3.94   75.47
    6    15    0.32  -16.02    3.94   75.47  -13.73    2.26   79.58
    6    16    0.32  -13.73    2.26   79.58  -11.63    1.10   83.97
    6    16    0.32  -11.63    1.10   83.97   -9.88   -0.53   88.36
    6    17    0.32   -9.88   -0.53   88.36   -8.61   -2.03   92.96
    6    17    0.32   -8.61   -2.03   92.96   -7.24   -2.97   97.67
    6    18    0.32   -7.24   -2.97   97.67   -5.78   -3.92  102.36
    6    18    0.32   -5.78   -3.92  102.36   -4.62   -5.48  106.97
    6    18    0.32   -4.62   -5.48  106.97   -2.95   -7.38  111.28
    6    19    0.32   -2.95   -7.38  111.28   -0.97   -8.69  115.68
    6    19    0.32   -0.97   -8.69  115.68    0.62   -9.45  120.36
